6.000000000000000000e+00 5.857999999999999545e+02 1.563369999999999926e+00
7.000000000000000000e+00 1.126420000000000073e+03 1.563369999999999926e+00
8.000000000000000000e+00 1.824920000000000073e+03 1.563369999999999926e+00
9.000000000000000000e+00 2.696420000000000073e+03 1.583352038795565520e+00
1.000000000000000000e+01 3.753130000000000109e+03 1.424848585771050447e+00
1.100000000000000000e+01 4.963689999999999600e+03 1.168321526969104740e+00
1.200000000000000000e+01 5.020869999999999891e+03 8.987588168664638610e-01
1.300000000000000000e+01 5.021920000000000073e+03 5.387998929367076029e-01
1.400000000000000000e+01 5.023460000000000036e+03 1.324127420675555444e-01
1.500000000000000000e+01 5.025289999999999964e+03 -2.794683090887501442e-01
